GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,ESTAB,EMP,PAYQTR1,PAYANN
1,Alabama,1131,Timber tract operations,49,387,3850,15520
1,Alabama,1132,Forest nurseries and gathering of forest products,7,56,945,3451
1,Alabama,1133,Logging,530,3978,37326,160389
1,Alabama,1141,Fishing,16,21,149,805
1,Alabama,1142,Hunting and trapping,9,75,866,3533
1,Alabama,1151,Support activities for crop production,42,966,6434,30900
1,Alabama,1152,Support activities for animal production,42,320,2044,7564
1,Alabama,1153,Support activities for forestry,119,786,10130,35427
1,Alabama,2111,Oil and gas extraction,30,307,8933,27972
1,Alabama,2121,Coal mining,27,2010,42104,155078
1,Alabama,2122,Metal ore mining,3,b,D,D
1,Alabama,2123,Nonmetallic mineral mining and quarrying,87,1678,24145,98792
1,Alabama,2131,Support activities for mining,67,1168,18618,69349
1,Alabama,2211,"Electric power generation, transmission and distribution",249,12660,399762,1207222
1,Alabama,2212,Natural gas distribution,29,g,D,D
1,Alabama,2213,"Water, sewage and other systems",75,611,5840,25853
1,Alabama,2361,Residential building construction,1381,5942,66148,296160
1,Alabama,2362,Nonresidential building construction,662,15436,222365,946101
1,Alabama,2371,Utility system construction,260,6299,75854,341498
1,Alabama,2372,Land subdivision,98,502,5533,25042
1,Alabama,2373,"Highway, street, and bridge construction",176,4551,48079,222295
1,Alabama,2379,Other heavy and civil engineering construction,86,861,8563,36574
1,Alabama,2381,"Foundation, structure, and building exterior contractors",868,7690,72578,327616
1,Alabama,2382,Building equipment contractors,2283,26477,279704,1224958
1,Alabama,2383,Building finishing contractors,880,6694,62306,273241
1,Alabama,2389,Other specialty trade contractors,730,7875,78370,359365
1,Alabama,3111,Animal food manufacturing,37,1215,14428,60990
1,Alabama,3112,Grain and oilseed milling,13,1019,12951,57740
1,Alabama,3113,Sugar and confectionery product manufacturing,15,272,3210,14113
1,Alabama,3114,Fruit and vegetable preserving and specialty food manufacturing,7,41,283,1588
1,Alabama,3115,Dairy product manufacturing,8,1031,11758,48687
1,Alabama,3116,Animal slaughtering and processing,75,23331,153375,659016
1,Alabama,3117,Seafood product preparation and packaging,20,900,6219,27924
1,Alabama,3118,Bakeries and tortilla manufacturing,78,1791,19466,76221
1,Alabama,3119,Other food manufacturing,28,2387,24393,108609
1,Alabama,3121,Beverage manufacturing,41,1095,17827,76059
1,Alabama,3122,Tobacco manufacturing,1,c,D,D
1,Alabama,3131,"Fiber, yarn, and thread mills",7,1097,8920,33550
1,Alabama,3132,Fabric mills,11,1056,9938,35202
1,Alabama,3133,Textile and fabric finishing and fabric coating mills,7,92,506,2543
1,Alabama,3141,Textile furnishings mills,25,3166,24085,106951
1,Alabama,3149,Other textile product mills,59,1503,12046,45490
1,Alabama,3151,Apparel knitting mills,17,1139,6268,27143
1,Alabama,3152,Cut and sew apparel manufacturing,23,1045,6339,25119
1,Alabama,3159,Apparel accessories and other apparel manufacturing,4,8,52,215
1,Alabama,3161,Leather and hide tanning and finishing,2,a,D,D
1,Alabama,3169,Other leather and allied product manufacturing,10,76,346,1600
1,Alabama,3211,Sawmills and wood preservation,98,5061,56253,230840
1,Alabama,3212,"Veneer, plywood, and engineered wood product manufacturing",46,2719,28084,123073
1,Alabama,3219,Other wood product manufacturing,187,7434,54308,246851
1,Alabama,3221,"Pulp, paper, and paperboard mills",17,7317,147805,608502
1,Alabama,3222,Converted paper product manufacturing,40,3036,38315,154996
1,Alabama,3231,Printing and related support activities,336,3336,29776,123401
1,Alabama,3241,Petroleum and coal products manufacturing,30,2012,44266,165066
1,Alabama,3251,Basic chemical manufacturing,56,3823,88509,351793
1,Alabama,3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",29,5585,79762,337243
1,Alabama,3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",22,888,13474,53145
